 Filename English, Modal name, Modal name agreement (%), H value, DKO (%), DKN (%), TOT (%), Modal category, Category agreement (%), Hcat, Familiarity, Visual complexity, Object agreement, Viewpoint agreement, NMI, Manipulability, Living/non-living,FHrejected
50dollarsbill.jpg,50$ bill,0.37,2.79,0,0,0,Jewel,0.85,0.84,4.5,2.9,4.3,4.2,1,1.7,NL,0
alarmclock.jpg,Alarm clock,0.44,2.42,0.05,0.03,0,Electronic,0.86,0.86,4.4,3.1,3.1,3.7,0,2.1,NL,0
almonds.jpg,Almonds,0.72,1.28,0,0,0,Food,0.77,1.01,4.3,2.1,4.5,4.6,0,1.3,L,0
antenna.jpg,Antenna,0.74,1.34,0.1,0.05,0.05,Electronic,0.83,1.12,3.2,3.1,3,3.6,0,1.9,NL,0
apple07.jpg,Apple *,0.95,0.34,0,0,0,Food,0.79,0.84,4.6,1.8,4.2,4.4,0,2.4,L,0
ashtray01.jpg,Ashtray *,0.92,0.53,0,0.05,0,Other,0.44,1.86,3.9,2.6,4.1,4.5,0,3.2,NL,1
asparagus.jpg,Asparagus *,0.81,1.06,0.08,0.08,0.05,Food,0.53,1.43,4,2.3,4.1,3.4,0,1.5,L,0
avocado.jpg,Avocado,0.89,0.57,0,0.03,0,Food,0.79,0.87,4.3,2.5,4.5,3.6,0,1.5,L,0
axe.jpg,Axe *,0.76,1.43,0.03,0.08,0.03,Tool,0.77,1.27,3.7,2.4,4.2,3.6,0,4,NL,0
babybottle.jpg,Baby bottle,0.29,2.88,0,0.21,0,Kitchen item,0.67,1.39,3.6,2.5,3.8,3.9,4,2.3,NL,0
babyseat.jpg,Baby seat,0.31,3.37,0.03,0.05,0.03,Other,0.41,2.49,3.3,2.4,3,3.7,0,2.3,NL,0
backpack01a.jpg,Backpack,0.77,1.34,0,0,0,Sport,0.47,1.61,4.7,3.4,4.1,3.3,1,3.3,NL,0
bag.jpg,Bag,0.37,3.06,0,0.03,0,Other,0.46,1.87,3.8,3,3.4,3,0,2.2,NL,0
bagel.jpg,Bagel,0.87,0.56,0,0,0.03,Food,0.97,0.21,4.5,2.6,4.8,4.6,0,1.9,NL,0
ball02.jpg,Ball *,0.88,0.62,0.08,0.05,0,Toy,0.62,1.65,3.4,1.6,3.5,4.1,0,3.5,NL,0
balloon01b.jpg,Balloon *,0.87,0.85,0,0,0,Toy,0.54,1.85,4.4,1.9,4.1,3.2,1,3.3,NL,0
banana.jpg,Banana *,1,0,0,0,0,Food,0.79,0.81,4.7,2,4.8,3.8,0,3.4,L,0
bandage.jpg,Bandage,0.42,2.75,0.08,0.15,0.1,Medical,0.67,1.68,3.8,2.4,3.6,3.7,0,2.5,NL,0
bandaid01.jpg,Band-aid,0.75,1.35,0.08,0.08,0,Medical,0.47,1.81,3.9,1.9,4,3.6,0,3.2,NL,0
baseball01a.jpg,Baseball,0.87,0.8,0,0,0,Sport,0.9,0.56,3.8,2.4,4.7,4.8,0,3.5,NL,0
bastingbrush.jpg,Brush,0.37,3.41,0.08,0.13,0.03,Kitchen item,0.58,1.92,3.4,2,2.6,2.8,0,3,NL,0
battery02b.jpg,Battery,0.95,0.35,0,0,0,Electronic,0.84,0.87,4.6,2.2,3.7,3.5,0,1.6,NL,0
beermug01a.jpg,Beer mug,0.26,3.14,0,0,0,Kitchen item,0.84,0.77,4.3,2.7,4.5,4.6,0,3.5,NL,0
belt02a.jpg,Belt *,0.95,0.34,0,0,0,Cloth,1,0,4.4,2,4.3,4.3,0,3.8,NL,0
bib.jpg,Bib,0.84,0.84,0,0.08,0.05,Cloth,0.72,1.33,3.8,2.5,4.1,4,4,2.7,NL,0
bikehelmet.jpg,Helmet,0.5,1.89,0,0.03,0,Sport,0.95,0.34,4.1,3,4.4,4.3,0,2.8,NL,0
binder03b.jpg,Binder,0.68,1.46,0,0,0.03,School supply,1,0,4.4,2,4,3.3,0,2.2,NL,0
binoculars01b.jpg,Binoculars,0.97,0.19,0,0.05,0.05,Sport,0.68,1.52,4,3.5,4.8,4.2,0,4.4,NL,0
birdie.jpg,Birdie,0.38,2.58,0.05,0.11,0,Sport,0.76,1.23,3.9,2.8,4.6,3.8,1,2.7,NL,0
blackberry.jpg,Blackberry,0.7,1.57,0.03,0.08,0.05,Food,0.87,0.66,4.2,2.7,3.7,4,0,1.2,L,0
bleachbottle.jpg,Bottle,0.3,3.74,0.03,0.03,0,Household article,0.82,1,3.9,1.9,4.5,4.4,4,1.4,NL,0
blueberry01.jpg,Blueberry,0.94,0.37,0.05,0.03,0.03,Food,0.82,1.05,4.4,2.1,4.7,4.7,0,1.6,L,0
book01b.jpg,Book *,0.9,0.68,0,0,0,School supply,0.51,1.66,4.5,2.2,4.2,2.8,0,3.9,NL,0
boot02b.jpg,Boot *,0.82,1.08,0,0,0,Cloth,0.92,0.51,4.4,2.3,3.8,3.8,0,2.8,NL,0
bottlecap.jpg,Bottle cap,0.86,0.92,0,0.05,0.03,Other,0.58,1.69,4.1,2.1,4.3,3.3,0,2.6,NL,0
bottleopener01.jpg,Bottle opener,0.69,1.54,0.03,0.08,0,Kitchen item,0.72,1.38,4,2.3,2.8,2.8,0,3.2,NL,0
bow02b.jpg,Bow,0.45,2.4,0,0.11,0.03,Decoration,0.74,1.44,4.2,2.9,3.8,4.1,1,1.9,NL,0
bowl02.jpg,Bowl *,0.85,0.97,0,0,0,Kitchen item,0.64,1.52,4.1,2.3,3.5,3.8,0,2.1,NL,0
boxcutter03a.jpg,Exacto knife,0.41,2.24,0,0.13,0.03,Tool,0.86,0.67,4.2,2.9,4,3.7,4,2.8,NL,0
bracelet01.jpg,Bracelet,0.62,2.08,0.03,0.05,0.05,Jewel,0.53,2.11,3.4,2.2,2.8,3.5,0,2.9,NL,0
bracket01.jpg,Bracket,0.28,3.41,0.05,0.44,0.05,Tool,0.51,1.33,3.3,2,3.3,3.2,3,1.5,NL,0
branch02.jpg,Branch,0.4,1.67,0.03,0.03,0.05,Natural,0.81,0.93,4.3,2.1,3.6,3.6,0,2.5,L,0
bread.jpg,Bread *,0.5,1.58,0,0.03,0,Food,0.95,0.39,4.5,2.4,3.2,3.6,0,1.9,NL,0
brick.jpg,Brick,1,0,0,0.05,0,Building material,0.58,1.52,3.6,2.2,3.8,4.1,0,1.8,NL,0
broccoli01a.jpg,Broccoli,0.97,0.17,0,0,0,Food,0.8,0.84,4.7,2.7,4.7,4.2,0,1.3,L,0
brooch.jpg,Brooch,0.52,2.26,0.08,0.08,0.03,Decoration/Jewel,0.49,1.51,3,3.6,3.2,3.6,0,2.1,NL,0
broom.jpg,Broom *,0.94,0.37,0,0.05,0.03,Household article,0.72,1.49,4.3,2.3,4.5,3,1,3.9,NL,0
brush05b.jpg,Brush *,0.64,1.66,0.05,0.1,0,Household article,0.61,1.85,3.8,2.7,3.8,3.1,0,2.5,NL,0
brusselssprout.jpg,Brussels sprout,0.31,2.42,0,0.08,0,Food,0.74,0.94,4.3,2.3,4.1,3.8,1,1.3,L,0
bubbleblower.jpg,Bubbles,0.23,3.56,0.03,0.11,0.05,Toy,0.82,0.79,3.8,2.4,3.7,4.3,0,3.8,NL,0
bucket01a.jpg,Bucket,0.58,1.76,0,0,0.03,Household article,0.74,1.28,3.9,2,3.7,3.6,0,2.5,NL,0
bungeecord02.jpg,Bungee cord,0.48,2.78,0.03,0.21,0.18,Tool,0.34,1.93,3.6,2.3,4,3.8,0,2.6,NL,0
butterdish.jpg,Butter dish,0.52,2.63,0.08,0.23,0,Kitchen item,0.83,0.99,3.5,2.1,3.3,3.8,0,1.6,NL,0
button01.jpg,Button *,1,0,0,0,0.08,Cloth,0.54,1.74,4.4,1.6,4,4,0,2.6,NL,0
cabbage.jpg,Cabbage,0.76,1.02,0,0,0.03,Food,0.72,0.98,4.3,2.7,4.5,4.5,0,1.6,L,0
cable01.jpg,Cable,0.28,3.72,0.03,0.05,0,Electronic,1,0.21,3.8,2.4,3.4,3.4,1,1.7,NL,0
calculator01.jpg,Calculator,1,0,0,0,0,School supply,0.74,0.92,4.3,3.1,4.1,3,0,3,NL,0
camera01a.jpg,Camera,0.82,0.93,0,0,0,Electronic,0.66,1.46,4.5,3.4,3.8,4,0,4.5,NL,0
cameracase01a.jpg,Camera case,0.26,3.26,0,0,0,Other,0.32,2.59,3.6,2.5,3.5,2.7,0,1.8,NL,0
candle01.jpg,Candle *,1,0,0,0.03,0,Decoration,0.5,1.71,4.3,2.1,4,2.7,0,2.9,NL,0
candleholder01.jpg,Candle holder,0.54,1.62,0.08,0.18,0,Decoration,0.71,1.39,3.5,2.5,3.2,3.9,0,2,NL,0
candy.jpg,Candy,0.95,0.36,0,0.03,0,Food,0.87,0.8,4.4,2.1,3.9,3.8,0,2.3,NL,0
cane.jpg,Cane,0.71,1.31,0,0.08,0.03,Medical,0.53,1.68,3.5,2.3,3.9,3,1,3.7,NL,0
cantaloupe.jpg,Cantaloupe,0.58,1.48,0,0.03,0,Food,0.82,0.68,4.3,2.2,4.5,4.1,0,1.3,L,0
cap01a.jpg,Cap *,0.49,2.12,0,0,0,Cloth,0.92,0.47,4.4,2.6,3.5,4,0,3.4,NL,0
cardboardbox.jpg,Box,0.59,1.94,0,0,0,Other,0.42,2.07,4.1,1.7,4,3.7,1,2.4,NL,0
carkeys.jpg,Car keys,0.66,1.73,0,0,0,Other,0.5,1.98,4.2,2.4,3.9,3.8,0,3.2,NL,0
carrot.jpg,Carrot *,0.97,0.17,0,0,0,Food,0.82,0.69,4.4,1.9,3.9,3.4,0,2.1,L,0
cassettetape01a.jpg,Cassette tape,0.35,2.39,0,0,0.03,Electronic,0.82,0.92,4.3,2.8,4.6,3.6,0,2.3,NL,0
cauliflower.jpg,Cauliflower,0.95,0.36,0,0.03,0.03,Food,0.79,0.73,4.4,2.5,4.3,4,0,1.2,L,0
