STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
aberol	3304.23	301.17	225.28	22.20	6.69	0.75
abjeal	3102.37	293.00	450.11	33.40	47.67	3.50
abjeng	4204.84	327.50	1099.63	74.80	19.75	1.00
abjoue	4469.42	309.50	231.81	22.40	0.91	0.75
abrded	8751.37	836.83	2197.95	233.60	206.51	20.75
absist	5038.17	418.50	546.50	55.20	71.73	7.75
acared	8649.09	850.67	2305.81	232.00	177.63	20.00
accars	5131.73	617.00	608.46	66.00	50.35	7.75
accays	4397.63	555.83	580.68	25.00	213.09	6.75
accely	5703.48	448.83	1281.63	67.40	273.92	12.75
accong	4855.97	341.50	1403.17	75.40	181.14	4.25
achime	5539.05	397.67	537.84	14.80	8.08	1.25
achnal	3090.71	272.50	564.96	30.60	12.12	2.25
achome	4839.07	309.50	639.38	16.40	222.35	1.75
achoue	4870.42	327.17	525.48	24.00	96.76	1.25
aconls	6699.86	676.33	322.77	44.20	0.64	0.75
acrety	5282.51	485.67	696.56	47.80	105.38	4.75
acrong	5574.88	412.50	1426.90	83.80	240.41	5.00
actame	5454.74	388.67	584.18	24.80	172.54	3.50
actary	4951.80	408.50	483.88	41.20	104.99	8.00
acthed	8843.26	773.00	2888.68	222.20	564.85	14.50
acttly	6171.74	454.00	1733.54	72.20	466.74	10.00
acyice	5875.35	417.33	798.32	29.40	193.41	4.00
acyied	9088.63	841.83	2295.15	217.80	35.70	4.00
advaty	3479.18	352.50	286.65	37.60	28.57	1.75
affeer	7789.52	738.67	1786.89	142.00	101.14	3.25
affend	6204.87	473.33	949.16	32.60	174.97	6.50
affere	5722.67	403.50	985.96	57.00	107.24	5.50
affing	5206.93	388.00	1936.42	130.80	1034.27	68.75
afrear	5469.72	491.67	537.97	33.00	148.98	4.25
agawed	7998.77	786.50	1915.00	197.40	49.13	7.50
agntly	5547.95	464.17	1257.09	62.00	90.79	5.75
alaken	7341.46	766.50	1109.41	99.60	67.93	10.50
alanch	4203.07	367.33	851.33	63.80	188.15	12.50
alanda	3540.57	358.17	692.08	52.60	58.72	7.75
alangh	4140.42	354.17	1019.77	52.60	111.62	7.00
alaret	7834.40	796.50	985.43	89.80	111.71	12.00
alater	8649.50	873.67	2500.12	219.00	449.13	34.50
alaton	4995.32	455.50	963.56	68.00	34.89	6.50
aleech	4325.22	365.00	645.39	46.40	49.71	5.25
almers	5981.37	686.83	899.44	88.60	336.95	36.25
almmed	8413.98	808.83	2403.42	220.80	315.37	18.00
alopet	8102.56	750.00	1058.41	79.80	33.26	6.75
aloued	9669.97	848.33	2852.63	219.60	36.81	4.25
alougs	5993.70	607.67	1380.40	37.20	302.21	4.25
aloung	5717.23	400.67	1984.24	88.00	223.92	4.25
alozed	8753.74	815.50	2195.91	214.40	20.54	4.00
alurse	5270.50	426.83	811.11	38.80	310.76	4.00
