STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
absoll	4783.16	349.83	68.89	18.00	18.73	2.50
abushy	3115.20	308.33	121.52	20.60	5.61	3.50
accure	5802.67	378.50	878.78	29.60	237.87	9.00
acotch	4565.98	320.67	347.50	32.80	26.00	5.25
acrone	7105.48	501.33	708.56	39.20	239.86	5.50
acrore	6622.08	472.00	1243.87	43.20	402.11	3.50
acrose	6295.58	448.50	825.30	37.60	238.46	4.50
acrour	5168.09	426.17	668.95	32.60	284.63	6.75
acrows	5391.04	604.83	455.93	26.20	167.78	3.75
actics	6463.20	669.50	673.90	34.40	198.05	7.75
actine	7654.68	538.17	1388.24	96.40	240.81	14.25
actiod	7017.02	537.33	619.52	27.40	293.11	4.75
actire	7171.29	508.83	951.02	36.80	245.27	6.00
actits	6411.27	706.50	717.72	80.40	200.68	9.00
actore	6471.30	420.67	1078.64	34.80	374.92	4.50
acturn	4936.53	327.17	648.78	22.00	291.11	4.25
addies	8547.88	1017.00	954.94	156.00	172.26	16.50
admily	6030.65	483.33	982.99	64.60	218.86	7.75
adulty	3605.93	372.00	278.34	30.40	50.39	3.00
adving	5011.14	392.67	1996.28	137.80	1210.39	70.75
afrail	3887.80	369.33	311.47	27.40	137.86	4.25
afraws	4910.22	609.17	209.22	21.80	87.93	3.00
africy	5756.20	478.00	671.76	38.20	162.56	2.50
afrina	5569.30	459.67	1284.92	97.00	240.35	9.75
afring	6165.14	486.00	2072.43	146.60	1170.07	72.50
agenal	3305.91	321.33	503.30	36.20	51.40	4.50
agench	3388.79	267.83	465.22	32.40	150.13	9.00
agread	6195.15	544.50	468.90	27.20	144.72	5.00
agreal	4417.94	407.33	722.41	44.20	147.68	6.75
agrest	5124.44	420.00	692.83	53.60	173.90	20.25
aimple	7095.08	526.00	1425.92	74.60	616.88	10.75
almord	6212.00	486.17	952.49	30.20	302.89	3.25
almort	5096.52	387.83	947.35	30.40	329.80	4.50
almory	5064.80	414.50	952.92	38.00	301.45	2.25
almose	5886.70	422.17	900.24	30.60	389.93	5.00
almoss	5486.36	619.17	780.38	21.60	435.09	2.75
almour	4759.20	399.83	743.90	25.60	404.01	7.00
almove	5415.72	382.33	574.30	20.60	264.43	3.00
alward	5386.64	474.50	707.64	27.80	415.36	6.50
alwary	4239.44	402.83	708.07	35.60	370.22	6.25
amound	6781.29	481.17	1298.68	26.60	445.11	4.50
anions	6385.82	693.67	543.26	48.60	106.92	9.25
anites	8877.80	1041.67	1606.38	188.40	251.22	14.75
anives	7928.95	972.83	1061.64	153.20	131.00	18.50
answed	8307.88	788.00	2140.67	203.80	164.77	6.25
anyong	4736.55	333.50	1281.84	73.20	265.84	3.00
appect	4177.14	349.17	435.94	25.20	256.62	7.50
appent	4968.28	414.83	629.31	41.80	300.90	13.50
appers	5201.22	640.33	644.56	90.40	324.44	41.25
applow	2752.09	264.50	255.62	24.00	115.53	6.75
aroman	4625.41	425.83	658.05	59.20	192.10	7.50
arople	7363.46	531.50	1969.61	91.00	891.69	7.75
arould	7814.19	572.00	1533.50	48.40	831.99	4.50
aroult	6698.72	473.67	1377.22	47.40	639.64	5.25
arower	8305.54	802.83	1995.80	171.40	277.77	11.25
arting	6695.64	530.00	2036.25	144.80	1002.17	72.75
assaya	2626.14	258.83	243.17	17.80	30.43	5.00
asylly	4535.65	365.67	878.02	55.00	139.56	4.75
attent	6196.08	447.00	592.55	41.40	308.63	14.00
augels	6609.31	753.50	457.96	57.40	70.53	12.50
augure	5960.43	455.00	734.03	30.80	226.50	7.75
autpus	5439.76	652.67	195.81	27.80	34.58	2.50
auturn	5471.87	418.00	522.51	29.60	262.84	4.50
avents	4680.71	613.83	531.66	70.60	191.51	12.00
babbed	9150.56	963.67	2104.50	238.80	60.53	19.00
babits	7040.16	891.67	494.18	95.60	86.92	10.50
babode	6497.34	564.33	394.31	43.00	112.22	4.25
babour	5646.21	560.00	503.92	46.60	282.84	8.00
bacred	9952.96	1008.00	2157.70	239.60	136.97	12.50
basher	9145.90	944.17	2099.20	203.00	546.04	33.00
batish	6699.67	595.17	788.26	82.40	124.31	18.50
beader	9780.90	966.83	2715.23	210.20	233.08	28.50
becind	9145.09	737.17	2358.24	109.20	291.59	4.50
becomy	6169.05	497.00	1237.58	40.60	498.56	4.00
becond	8445.11	649.00	1756.70	52.40	579.36	3.75
becons	8045.97	805.50	1414.80	68.40	486.86	10.25
becore	7962.91	579.17	1945.47	57.20	649.74	5.50
bector	7038.59	584.33	1207.85	51.00	319.13	9.50
beford	7722.41	592.67	1551.56	44.60	856.29	6.50
befort	6606.93	494.33	1546.42	44.80	883.20	7.75
befory	6575.21	521.00	1551.99	52.40	854.85	5.50
befugh	5493.65	369.00	1329.69	30.20	552.79	4.50
befuse	7296.61	506.17	1132.58	45.00	296.66	8.00
behing	7197.05	567.33	2436.48	142.60	1195.03	67.25
beight	5629.13	497.33	1021.59	38.20	307.01	10.75
belicy	7213.31	624.83	1162.43	59.20	203.66	7.25
belled	10436.67	996.50	3116.17	281.80	584.49	43.25
besily	8390.22	693.83	1729.51	89.40	250.42	10.75
besses	9938.16	1139.50	1740.16	193.80	240.48	38.00
betack	5699.34	451.00	984.93	49.80	198.17	7.00
bethin	6088.14	481.67	1436.02	54.40	284.51	4.75
betras	7289.77	796.33	886.49	61.00	129.93	8.00
betred	10966.91	984.83	2807.07	243.80	232.41	15.25
betten	10072.14	905.17	2217.15	130.40	576.11	27.00
bettle	9379.88	663.33	2451.10	107.40	902.67	18.75
betume	7785.08	525.33	1192.16	42.60	178.89	4.25
beture	8430.54	576.33	1609.42	54.60	460.82	9.25
beyone	8026.25	573.00	1005.17	40.00	217.67	3.25
beyong	6495.65	484.17	1723.50	84.60	218.22	2.75
beyons	7625.91	770.00	1009.81	55.20	199.08	8.50
beyony	6877.85	541.83	944.28	35.60	169.44	2.50
bisdow	4146.06	415.00	402.84	35.00	65.75	2.50
bisses	8827.31	1102.50	1158.60	186.40	232.63	38.50
bithin	4977.29	444.67	997.24	41.00	311.86	4.50
bodden	8026.51	845.83	826.38	99.40	194.70	16.75
boddle	7334.24	604.00	1212.33	97.60	157.75	19.00
boders	6881.13	821.50	805.32	110.20	344.52	39.75
bodges	8961.56	1111.67	1060.41	180.40	85.37	23.25
bolict	6743.22	606.17	829.46	62.00	216.23	7.75
booket	9267.10	895.50	1134.84	110.80	425.57	17.75
bosque	5915.12	514.50	254.68	43.40	28.85	7.00
bothed	10401.19	959.17	2969.94	246.40	643.67	15.50
botion	7141.88	612.00	1014.64	70.80	291.44	11.00
botler	9657.74	946.17	2010.13	200.00	84.66	12.75
botted	11003.40	1024.67	3258.81	290.20	654.49	51.50
bouble	7248.83	599.00	1386.15	98.60	139.08	14.50
bouses	9203.52	1132.00	1459.38	194.80	264.24	33.25
breatz	3565.35	417.83	458.40	59.40	149.71	13.00
breded	8834.86	910.83	2401.34	257.00	218.16	21.50
brends	5240.90	695.33	658.44	68.40	193.10	13.75
brents	5484.07	737.50	782.96	99.00	239.73	15.00
bretty	5048.79	533.00	491.81	55.20	124.31	7.25
briced	8642.15	907.83	2342.49	245.60	164.17	14.00
brient	6102.88	565.17	859.78	73.00	365.58	16.75
brifts	4843.77	704.83	600.81	93.40	63.20	7.75
broked	9390.18	917.33	2814.67	272.80	615.32	35.25
brople	7357.43	560.50	1930.84	96.40	792.79	11.25
brower	8299.51	831.83	1957.03	176.80	178.87	14.75
buckes	8293.85	1046.50	1278.25	194.80	161.84	27.50
buills	6472.94	795.67	422.37	70.00	58.56	12.50
burive	7053.90	616.67	744.92	70.60	196.67	12.75
burope	6430.91	541.33	642.68	54.40	147.33	6.75
burtim	4684.64	491.83	460.57	57.20	58.50	7.50
buture	6900.11	518.00	956.75	51.40	387.25	9.00
calles	9662.68	1214.67	1742.45	227.00	547.17	35.50
canday	5676.80	645.83	876.15	85.20	219.22	16.25
canice	8147.61	737.33	1155.85	94.20	328.68	17.25
canths	6765.42	862.67	942.44	88.60	332.97	20.00
cantle	8604.21	750.00	1929.42	128.60	555.08	22.00
canups	6534.06	809.50	713.57	78.60	158.73	10.25
carder	9814.90	1035.83	2336.60	232.80	298.27	29.75
careal	6325.81	662.00	1277.33	106.80	184.38	14.50
carger	9716.02	1033.67	2224.71	230.20	266.24	25.25
cartle	9155.80	776.33	1802.08	133.40	436.38	22.00
cassia	4455.41	531.00	592.92	73.80	89.82	9.75
ceally	7537.38	669.50	1416.76	83.80	440.47	8.50
cenced	10275.69	1001.00	2198.48	229.60	142.17	13.00
cenged	10448.93	1017.50	2367.97	257.20	221.77	29.00
ceniel	10029.50	981.83	570.61	75.80	117.10	9.25
cented	11175.36	1060.50	2873.62	278.20	523.34	42.00
chaked	9105.08	915.33	2677.70	267.00	547.35	39.00
changs	5829.69	699.67	942.19	62.80	497.06	16.50
charch	4308.10	396.50	791.24	65.60	266.26	12.25
cheect	5298.15	455.67	654.61	50.20	220.78	11.50
chemed	8754.85	868.83	2396.30	236.40	298.30	16.75
cheore	6554.06	505.67	1163.99	51.80	339.88	5.50
chough	4965.53	336.83	1789.15	41.80	1042.00	7.50
chould	7873.99	572.83	1753.76	45.00	943.36	5.75
chound	7577.19	567.33	1916.31	50.80	850.33	8.00
churse	5601.05	464.17	829.42	44.40	391.80	5.75
cigned	9206.83	940.83	2264.28	230.60	242.40	19.50
cithew	7774.75	765.67	1255.74	47.20	573.52	10.50
claces	8254.31	1071.50	1078.65	166.60	244.84	15.50
clayed	8493.95	886.50	2123.30	225.20	160.54	12.00
clests	4901.73	706.67	431.85	83.40	61.22	13.00
clound	7311.56	577.83	1448.15	48.60	456.26	10.25
clowly	5664.65	482.67	1020.36	73.60	177.72	8.50
cofter	9428.24	943.83	2439.75	220.60	408.27	29.00
colice	7930.85	682.83	1236.33	82.80	438.25	11.50
colico	5761.99	559.33	971.35	73.60	251.88	8.25
colies	10745.00	1263.83	1565.46	198.40	318.03	20.75
colles	9606.67	1179.83	1790.47	223.80	370.98	29.75
collet	8890.33	925.00	1420.71	135.60	353.60	28.25
