"","target","filler1","filler2","filler3","model"
"1","bor","bur","por","bir","psw3_bi.txt"
"2","hix","gix","hax","hox","psw3_bi.txt"
"3","noy","mey","muy","nuy","psw3_bi.txt"
"4","hor","her","hol","hur","psw3_bi.txt"
"5","yed","yet","yep","yab","psw3_bi.txt"
"6","ser","sel","sar","sur","psw3_bi.txt"
"7","tho","tha","tgu","the","psw3_bi.txt"
"8","noo","moo","nuo","moa","psw3_bi.txt"
"9","spe","sti","spi","sbe","psw3_bi.txt"
"10","fer","bar","per","for","psw3_bi.txt"
"11","ber","bal","dol","dir","psw3_bi.txt"
"12","nop","mop","mup","nid","psw3_bi.txt"
"13","gop","ged","god","had","psw3_bi.txt"
"14","fon","pas","cay","wot","r_psw3_bi.txt"
"15","hin","lex","vas","ene","r_psw3_bi.txt"
"16","gor","lew","het","ter","r_psw3_bi.txt"
"17","yor","hoo","cre","cas","r_psw3_bi.txt"
"18","ege","bia","bew","nen","r_psw3_bi.txt"
"19","hou","yow","mer","dir","r_psw3_bi.txt"
"20","das","ank","tou","heg","r_psw3_bi.txt"
"21","anp","eay","foo","oub","r_psw3_bi.txt"
"22","max","foy","ead","bip","r_psw3_bi.txt"
"23","ars","oum","mas","waw","r_psw3_bi.txt"
"24","eaw","lis","bur","sas","r_psw3_bi.txt"
"25","ned","hee","ges","nou","r_psw3_bi.txt"
"26","owo","dis","twn","har","r_psw3_bi.txt"
"27","ler","whe","bas","hed","r_psw3_bi.txt"
"28","ony","ais","gow","oll","r_psw3_bi.txt"
"29","tis","ase","fas","ond","r_psw3_bi.txt"
"30","fom","mes","ald","non","r_psw3_bi.txt"
"31","sho","usk","yot","ane","r_psw3_bi.txt"
"32","ger","oun","hig","ner","r_psw3_bi.txt"
"33","fot","sid","hir","dut","r_psw3_bi.txt"
"34","gou","san","ses","fow","r_psw3_bi.txt"
"35","gon","fou","han",NA,"r_psw3_bi.txt"
"36","frid","frip","fred","flib","psw4_bi.txt"
"37","fift","fifd","fipd","bipt","psw4_bi.txt"
"38","knod","knat","knot","kmod","psw4_bi.txt"
"39","sall","sell","sull","sarl","psw4_bi.txt"
"40","trop","drup","trep","tlop","psw4_bi.txt"
"41","gand","honb","gamd","gunf","psw4_bi.txt"
"42","veat","vuat","veet","vead","psw4_bi.txt"
"43","ligh","lagh","righ","legg","psw4_bi.txt"
"44","wipt","wupt","wept","wopt","psw4_bi.txt"
"45","walp","walb","wald","walf","psw4_bi.txt"
"46","awid","awit","awip","ewid","psw4_bi.txt"
"47","hoto","hote","hode","hotu","psw4_bi.txt"
"48","eath","eadh","oath","eafh","psw4_bi.txt"
"49","onth","unth","ondh","untg","psw4_bi.txt"
"50","dely","tely","duly","dary","psw4_bi.txt"
"51","eait","eaut","aait","eaif","psw4_bi.txt"
"52","knen","knin","knan","kmen","psw4_bi.txt"
"53","doow","douw","doiw","toow","psw4_bi.txt"
"54","tofe","tobe","dofe","tofo","psw4_bi.txt"
"55","bost","bast","bust","bosd","psw4_bi.txt"
"56","luct","rucp","lact","licd","psw4_bi.txt"
"57","cade","cedu","cate","cabe","psw4_bi.txt"
"58","pust","dust","tist","post","psw4_bi.txt"
"59","gagh","gugh","gogh","gegh","psw4_bi.txt"
"60","onod","onof","onot","enod","psw4_bi.txt"
"61","inlp","anlp","inrb","anrp","psw4_bi.txt"
"62","ront","rant","lont","rent","psw4_bi.txt"
"63","iten","iton","etun","ifen","psw4_bi.txt"
"64","meen","mien","meon","maem","psw4_bi.txt"
"65","acat","ocat","ecad","acad","psw4_bi.txt"
"66","poom","piom","doom","poin","psw4_bi.txt"
"67","yown","yiwn","yewn","yowm","psw4_bi.txt"
"68","mold","mert","melt","molt","psw4_bi.txt"
"69","arom","aron","olom","arem","psw4_bi.txt"
"70","onen","onem","inem","onin","psw4_bi.txt"
"71","doly","pory","taly","tely","psw4_bi.txt"
"72","beed","peed","baed","feef","psw4_bi.txt"
"73","doft","dobt","dedt","foft","psw4_bi.txt"
"74","whed","whad","whep","whef","psw4_bi.txt"
"75","ferk","berk","derk","perk","psw4_bi.txt"
"76","thad","tgad","dhad","thap","psw4_bi.txt"
"77","lide","litu","rite","lida","psw4_bi.txt"
"78","whar","whal","wher","whur","psw4_bi.txt"
"79","gach","hach","gucg","goch","psw4_bi.txt"
"80","boop","boip","beop","boob","psw4_bi.txt"
"81","nade","nete","nufe","nide","psw4_bi.txt"
"82","frem","brem","fram","pren","psw4_bi.txt"
"83","pach","tach","puch","bech","psw4_bi.txt"
"84","rour","roul","roer","roil","psw4_bi.txt"
"85","frag","brag","brog","drig","psw4_bi.txt"
"86","yome","yina","yomu","yime","psw4_bi.txt"
"87","lors","lirs","lols","rors","psw4_bi.txt"
"88","deen","tien","fein","feem","psw4_bi.txt"
"89","thil","thel","pgil","dhir","psw4_bi.txt"
"90","rord","lorb","rorf","lold","psw4_bi.txt"
"91","sard","serd","surd","sird","psw4_bi.txt"
"92","frer","drel","prer","frir","psw4_bi.txt"
"93","heer","huer","hear","heur","psw4_bi.txt"
"94","knlp","knrp","knld","knrb","psw4_bi.txt"
"95","trme","trne","drme","trmu","psw4_bi.txt"
