target,filler1,filler2,filler3,set,model
wog,bab,jat,seb,1,cvc
mot,jit,vot,zam,1,cvc
tob,fut,wub,vab,1,cvc
bax,tam,nud,rix,1,cvc
fug,bip,lat,tid,1,cvc
vut,sab,ret,nar,1,cvc
som,vum,mun,nam,2,cvc2
dat,dut,dit,tet,2,cvc2
feg,fet,fep,fod,2,cvc2
fub,fud,fup,fip,2,cvc2
lev,leb,rab,lef,2,cvc2
hix,gix,hax,hox,2,cvc2
haso,yerd,trom,muld,3,r_psw4_bi
sode,dake,hown,cime,3,r_psw4_bi
mave,gike,cefe,wiso,3,r_psw4_bi
kish,hift,aggs,wown,3,r_psw4_bi
dest,awat,juso,hily,3,r_psw4_bi
gife,tery,sost,kint,3,r_psw4_bi
trop,drup,trep,tlop,4,psw4_bi
gand,honb,gamd,gunf,4,psw4_bi
walp,walb,wald,walf,4,psw4_bi
frem,brem,fram,pren,4,psw4_bi
rord,lorb,rorf,lold,4,psw4_bi
hilf,gerf,gilf,hulf,4,psw4_bi
borry,goins,plass,woray,5,r_psw5_tri
wrout,broms,smong,roult,5,r_psw5_tri
radia,truld,guars,armen,5,r_psw5_tri
viven,forry,yeans,yoult,5,r_psw5_tri
wrove,rould,unted,thugh,5,r_psw5_tri
coses,shums,laris,wided,5,r_psw5_tri
forod,barod,pirit,forob,6,psw5_bi
frace,fraco,flace,drace,6,psw5_bi
grong,gring,gromg,gramg,6,psw5_bi
plail,plair,ploir,prail,6,psw5_bi
telks,derks,tolks,tarks,6,psw5_bi
twint,twimt,twunt,twont,6,psw5_tri
ranond,ranont,ramomp,renond,7,psw6_bi
pinter,pimter,pamter,pintel,7,psw6_bi
plenod,plenot,plened,flemod,7,psw6_bi
retind,redimd,letind,retumd,7,psw6_bi
behorn,peholn,fehorm,dehorn,7,psw6_bi
bovidy,bavidy,bovity,fovity,7,psw6_bi
bromble,brombre,blomblo,bramble,8,psw7_bi
paldler,baldler,paltler,pardler,8,psw7_bi
renched,remched,renchep,remchop,8,psw7_bi
caporty,caforty,capilty,caborty,8,psw7_tri
varldly,varlbry,vorlply,varldry,8,psw7_tri
elderal,elteral,elferal,elderil,8,psw7_tri
propider,propuder,propifel,fropidel,9,psw8_tri
impublized,impublizet,inpublozed,impubrized,9,psw8_tri
specifactive,specifacdeve,specifacdive,spicifactive,9,psw8_tri
requented,requemted,requended,lequented,9,psw8_tri
industment,indusdment,antustment,endustment,9,psw8_tri
evideroon,eviperion,evaderuon,eviperoom,9,psw8_tri
