"","Word","OccurTotal","OccurNum","Freq_pm","Rating.Mean","Rating.SD","Dunno","agebin","agebin_small","logfreq","freqbin","wordlen","cvc","bin"
"3812","can",19,19,"5247.45",4.32,2.26,1,"(4,4.5]","(4.25,4.5]",3.71994830912627,"(3,4]",3,TRUE,"(4,4.5].(3,4].3"
"10744","for",22,22,"6895.10",4.39,1.97,1,"(4,4.5]","(4.25,4.5]",3.83854056915339,"(3,4]",3,TRUE,"(4,4.5].(3,4].3"
"3626","but",21,21,"4417.47",4.6,2.45,1,"(4.5,5]","(4.5,4.75]",3.64517360880049,"(3,4]",3,TRUE,"(4.5,5].(3,4].3"
"15663","let",19,19,"2419.24",4.53,2.09,1,"(4.5,5]","(4.5,4.75]",3.38367895455675,"(3,4]",3,TRUE,"(4.5,5].(3,4].3"
"1604","at",22,21,"3217.10",4.04,1.37,0.95,"(4,4.5]","(4,4.25]",3.50746456067605,"(3,4]",2,FALSE,"(4,4.5].(3,4].2"
"16417","man",19,19,"1845.75",3.11,1.24,1,"(3,3.5]","(3,3.25]",3.2661728770945,"(3,4]",3,TRUE,"(3,3.5].(3,4].3"
"11511","get",18,18,"4583.76",3.17,1.29,1,"(3,3.5]","(3,3.25]",3.66122187043309,"(3,4]",3,TRUE,"(3,3.5].(3,4].3"
"12869","him",21,21,"3484.51",3.43,1.21,1,"(3,3.5]","(3.25,3.5]",3.5421417152151,"(3,4]",3,TRUE,"(3,3.5].(3,4].3"
"12551","he",22,22,"7637.20",3.81,1.41,1,"(3.5,4]","(3.75,4]",3.88293416388518,"(3,4]",2,FALSE,"(3.5,4].(3,4].2"
"18437","not",21,21,"5424.96",3.89,2.22,1,"(3.5,4]","(3.75,4]",3.73439654033747,"(3,4]",3,TRUE,"(3.5,4].(3,4].3"
"12891","his",21,21,"2124.78",3.69,1.29,1,"(3.5,4]","(3.5,3.75]",3.32731396980647,"(3,4]",3,TRUE,"(3.5,4].(3,4].3"
