,Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,agebin,agebin_small,logfreq,freqbin,wordlen,cvc,bin
17425,mom,18,18,430.39,2.22,1.22,1,NA,NA,2.633862172,"(2,3]",3,TRUE,NA
17904,nap,19,19,12.65,2.53,0.77,1,NA,NA,1.102090526,"(1,2]",3,TRUE,NA
6690,dad,19,19,507.25,2.58,1.17,1,NA,NA,2.705222056,"(2,3]",3,TRUE,NA
13214,hug,19,19,19.33,2.58,0.96,1,NA,NA,1.286231854,"(1,2]",3,TRUE,NA
1936,bad,19,19,545.18,2.79,1.27,1,NA,NA,2.736539915,"(2,3]",3,TRUE,NA
8138,dog,20,20,192.84,2.8,1.2,1,NA,NA,2.285197123,"(2,3]",3,TRUE,NA
2302,bed,19,19,187.12,2.89,1.41,1,NA,NA,2.272120209,"(2,3]",3,TRUE,NA
2544,big,18,18,682.82,2.89,1.08,1,NA,NA,2.834306233,"(2,3]",3,TRUE,NA
15589,leg,18,18,56.51,3,1.5,1,NA,NA,1.752125307,"(1,2]",3,TRUE,NA
16417,man,19,19,1845.75,3.11,1.24,1,"(3,3.5]","(3,3.25]",3.266172877,"(3,4]",3,TRUE,"(3,3.5].(3,4].3"
15407,lap,20,20,13.47,3.15,1.18,1,"(3,3.5]","(3,3.25]",1.129367596,"(1,2]",3,TRUE,"(3,3.5].(1,2].3"
11511,get,18,18,4583.76,3.17,1.29,1,"(3,3.5]","(3,3.25]",3.66122187,"(3,4]",3,TRUE,"(3,3.5].(3,4].3"
23628,sad,21,21,63.37,3.24,2.21,1,"(3,3.5]","(3,3.25]",1.801883707,"(1,2]",3,TRUE,"(3,3.5].(1,2].3"
12501,hat,18,18,64.18,3.33,1.14,1,"(3,3.5]","(3.25,3.5]",1.807399713,"(1,2]",3,TRUE,"(3,3.5].(1,2].3"
3931,car,19,19,483.06,3.37,1.95,1,"(3,3.5]","(3.25,3.5]",2.684001077,"(2,3]",3,TRUE,"(3,3.5].(2,3].3"
13141,hot,19,19,189.84,3.37,1.77,1,"(3,3.5]","(3.25,3.5]",2.278387725,"(2,3]",3,TRUE,"(3,3.5].(2,3].3"
26610,sun,20,20,69.67,3.4,1.64,1,"(3,3.5]","(3.25,3.5]",1.843045811,"(1,2]",3,TRUE,"(3,3.5].(1,2].3"
12869,him,21,21,3484.51,3.43,1.21,1,"(3,3.5]","(3.25,3.5]",3.542141715,"(3,4]",3,TRUE,"(3,3.5].(3,4].3"
24893,sit,19,19,311.35,3.47,2.25,1,"(3,3.5]","(3.25,3.5]",2.49324887,"(2,3]",3,TRUE,"(3,3.5].(2,3].3"
16261,mad,20,20,113.41,3.55,1.5,1,"(3.5,4]","(3.5,3.75]",2.05465135,"(2,3]",3,TRUE,"(3.5,4].(2,3].3"
6549,cup,21,21,51.65,3.57,1.99,1,"(3.5,4]","(3.5,3.75]",1.713070326,"(1,2]",3,TRUE,"(3.5,4].(1,2].3"
27314,ten,21,21,145,3.58,1.49,1,"(3.5,4]","(3.5,3.75]",2.161368002,"(2,3]",3,TRUE,"(3.5,4].(2,3].3"
11138,fun,18,18,235.49,3.67,0.97,1,"(3.5,4]","(3.5,3.75]",2.37197247,"(2,3]",3,TRUE,"(3.5,4].(2,3].3"
4106,cat,22,22,66.33,3.68,1.52,1,"(3.5,4]","(3.5,3.75]",1.821709997,"(1,2]",3,TRUE,"(3.5,4].(1,2].3"
22436,red,19,19,148.06,3.68,1.63,1,"(3.5,4]","(3.5,3.75]",2.170437745,"(2,3]",3,TRUE,"(3.5,4].(2,3].3"
12891,his,21,21,2124.78,3.69,1.29,1,"(3.5,4]","(3.5,3.75]",3.32731397,"(3,4]",3,TRUE,"(3.5,4].(3,4].3"
