"","Word","OccurTotal","OccurNum","Freq_pm","Rating.Mean","Rating.SD","Dunno","agebin","agebin_small","logfreq","freqbin","wordlen","cvc","bin"
"11758","going",20,20,"2123.29",5.41,1.9,1,"(5,5.5]","(5.25,5.5]",3.32700931437255,"(3,4]",5,FALSE,"(5,5.5].(3,4].5"
"64","about",22,22,"3631.49",5.07,1.75,1,"(5,5.5]","(5,5.25]",3.56008485258641,"(3,4]",5,FALSE,"(5,5.5].(3,4].5"
"18136","never",22,22,"1362.55",5.07,2.21,1,"(5,5.5]","(5,5.25]",3.13435244806844,"(3,4]",5,FALSE,"(5,5.5].(3,4].5"
"30928","would",18,18,"1767.88",5.28,1.56,1,"(5,5.5]","(5.25,5.5]",3.24745278267562,"(3,4]",5,FALSE,"(5,5.5].(3,4].5"
"27472","there",20,20,"4348.12",5.25,2.05,1,"(5,5.5]","(5,5.25]",3.63830152129712,"(3,4]",5,FALSE,"(5,5.5].(3,4].5"
"28467","two",20,20,"1066.35",4.24,2.06,1,"(4,4.5]","(4,4.25]",3.02789977328392,"(3,4]",3,FALSE,"(4,4.5].(3,4].3"
"711","all",22,22,"5161.86",4.24,1.4,1,"(4,4.5]","(4,4.25]",3.71280622142986,"(3,4]",3,FALSE,"(4,4.5].(3,4].3"
"19005","our",22,22,"1400.49",4.35,1.53,1,"(4,4.5]","(4.25,4.5]",3.14628001215257,"(3,4]",3,FALSE,"(4,4.5].(3,4].3"
"7111","all",22,22,"5161.86",4.24,1.4,1,"(4,4.5]","(4,4.25]",3.71280622142986,"(3,4]",3,FALSE,"(4,4.5].(3,4].3"
"1","a",22,22,"20415.27",2.89,1.21,1,NA,NA,4.30995512801286,"(4,5]",1,FALSE,NA
"641","about",22,22,"3631.49",5.07,1.75,1,"(5,5.5]","(5,5.25]",3.56008485258641,"(3,4]",5,FALSE,"(5,5.5].(3,4].5"
"18879","or",22,22,"1705.29",4.14,1.25,1,"(4,4.5]","(4,4.25]",3.23179824531683,"(3,4]",2,FALSE,"(4,4.5].(3,4].2"
"1604","at",22,21,"3217.10",4.04,1.37,0.95,"(4,4.5]","(4,4.25]",3.50746456067605,"(3,4]",2,FALSE,"(4,4.5].(3,4].2"
"18784","on",22,22,"6955.73",4.01,1.28,1,"(4,4.5]","(4,4.25]",3.84234271568463,"(3,4]",2,FALSE,"(4,4.5].(3,4].2"
"29666","us",21,21,"1695.65",4.19,2.07,1,"(4,4.5]","(4,4.25]",3.22933621422075,"(3,4]",2,FALSE,"(4,4.5].(3,4].2"
"27672","time",19,19,"1958.63",5.16,1.86,1,"(5,5.5]","(5,5.25]",3.29195240223515,"(3,4]",4,FALSE,"(5,5.5].(3,4].4"
"16102","love",18,18,"1114.98",5.17,3.54,1,"(5,5.5]","(5,5.25]",3.04726707727876,"(3,4]",4,FALSE,"(5,5.5].(3,4].4"
"1868","back",20,20,"2009.16",5.31,2.35,1,"(5,5.5]","(5.25,5.5]",3.30301452328395,"(3,4]",4,FALSE,"(5,5.5].(3,4].4"
"25280","so",20,20,"4244.16",5.15,1.85,1,"(5,5.5]","(5,5.25]",3.62779174794544,"(3,4]",2,FALSE,"(5,5.5].(3,4].2"
