,filename,filler1.filename,filler1.word,filler2.filename,filler2.word,filler3.filename,filler3.word,set,word
2,wait.jpg,dream.jpg,dream,open.jpg,open,travel.jpg,travel,1,wait
5,conduct.jpg,wait.jpg,wait,control.jpg,control,close.jpg,close,1,conduct
6,sculpt.jpg,knit.jpg,knit,forge.jpg,forge,cook.jpg,cook,1,sculpt
7,grunt.jpg,quack.jpg,quack,hiss.jpg,hiss,caw.jpg,caw,1,grunt
9,solder.jpg,travel.jpg,travel,open.jpg,open,watch.jpg,watch,1,solder
10,plough.jpg,swim.jpg,swim,travel.jpg,travel,fly.jpg,fly,1,plough
11,wrestle.jpg,wait.jpg,wait,travel.jpg,travel,close.jpg,close,2,wrestle
13,drill.jpg,plane.jpg,plane,saw.jpg,saw,mow.jpg,mow,2,drill
14,vacuum.jpg,dry.jpg,dry,embroider.jpg,embroider,decorate.jpg,decorate,2,vacuum
15,sow.jpg,put.jpg,put,plant.jpg,plant,pull.jpg,pull,2,sow
16,gather.jpg,search.jpg,search,travel.jpg,travel,close.jpg,close,2,gather
18,caw.jpg,howl.jpg,howl,hiss.jpg,hiss,quack.jpg,quack,2,caw
19,cook.jpg,knit.jpg,knit,sculpt.jpg,sculpt,open.jpg,open,3,cook
20,smell.jpg,listen.jpg,listen,travel.jpg,travel,search.jpg,search,3,smell
21,croak.jpg,hatch.jpg,hatch,boil.jpg,boil,warm.jpg,warm,3,croak
22,catch.jpg,search.jpg,search,travel.jpg,travel,close.jpg,close,3,catch
23,pray.jpg,wink.jpg,wink,type.jpg,type,bow.jpg,bow,3,pray
24,light.jpg,warm.jpg,warm,wait.jpg,wait,travel.jpg,travel,3,light
26,drink.jpg,eat.jpg,eat,suck.jpg,suck,travel.jpg,travel,4,drink
27,eat.jpg,search.jpg,search,drink.jpg,drink,wait.jpg,wait,4,eat
30,warm.jpg,blossom.jpg,blossom,travel.jpg,travel,croak.jpg,croak,4,warm
31,type.jpg,wink.jpg,wink,bow.jpg,bow,pray.jpg,pray,4,type
32,roll.jpg,sweep.jpg,sweep,turn.jpg,turn,dance.jpg,dance,4,roll
33,lift.jpg,pull.jpg,pull,put.jpg,put,carry.jpg,carry,4,lift
38,swing.jpg,pull.jpg,pull,put.jpg,put,carry.jpg,carry,5,swing
39,peck.jpg,knock.jpg,knock,kiss.jpg,kiss,stroke.jpg,stroke,5,peck
40,carry.jpg,drop.jpg,drop,put.jpg,put,swing.jpg,swing,5,carry
41,string.jpg,put.jpg,put,sow.jpg,sow,plant.jpg,plant,5,string
42,seal.jpg,close.jpg,close,travel.jpg,travel,wait.jpg,wait,5,seal
44,wink.jpg,bow.jpg,bow,pray.jpg,pray,type.jpg,type,5,wink
45,dry.jpg,inflate.jpg,inflate,decorate.jpg,decorate,wait.jpg,wait,6,dry
46,plant.jpg,put.jpg,put,sow.jpg,sow,pull.jpg,pull,6,plant
47,bow.jpg,wink.jpg,wink,pray.jpg,pray,type.jpg,type,6,bow
48,pull.jpg,draw.jpg,draw,drag.jpg,drag,carry.jpg,carry,6,pull
49,roast.jpg,bake.jpg,bake,warm.jpg,warm,travel.jpg,travel,6,roast
50,fly.jpg,fly.jpg,fly,travel.jpg,travel,plough.jpg,plough,6,fly
